time,T2M,T2MDEW,TS,WS10M,RH2M
2026-03-11 00:00:00,-2.26,-5.42,-5.48,1.54,78.88
2026-03-11 01:00:00,-2.69,-5.29,-5.5,1.54,82.34
2026-03-11 02:00:00,-3.13,-5.2,-5.5,1.55,85.71
2026-03-11 03:00:00,-3.41,-5.27,-5.5,1.46,87.1
2026-03-11 04:00:00,-3.61,-5.53,-5.51,1.41,86.69
2026-03-11 05:00:00,-3.78,-5.94,-5.5,1.41,85.09
2026-03-11 06:00:00,-3.92,-6.4,-5.46,1.44,82.92
2026-03-11 07:00:00,-3.61,-6.48,-4.08,1.41,80.47
2026-03-11 08:00:00,-1.7,-6.85,0.09,1.6,67.76
2026-03-11 09:00:00,1.58,-7.11,4.96,1.5,52.5
2026-03-11 10:00:00,4.43,-7.2,8.9,2.09,42.88
2026-03-11 11:00:00,6.35,-6.93,11.56,2.27,38.38
2026-03-11 12:00:00,7.69,-6.9,13.21,2.31,35.13
2026-03-11 13:00:00,8.56,-6.96,13.83,2.41,32.96
2026-03-11 14:00:00,8.92,-6.92,13.37,2.73,32.27
2026-03-11 15:00:00,8.77,-6.73,11.9,3.2,33.08
2026-03-11 16:00:00,8.13,-6.15,9.75,3.42,36.1
2026-03-11 17:00:00,6.93,-4.97,6.91,3.04,42.72
2026-03-11 18:00:00,4.28,-2.5,3.14,2.06,61.21
2026-03-11 19:00:00,1.95,-3.41,0.27,2.21,67.42
2026-03-11 20:00:00,0.56,-4.06,-1.31,2.18,70.99
2026-03-11 21:00:00,-0.36,-4.27,-2.03,2.06,74.75
2026-03-11 22:00:00,-0.81,-4.31,-2.17,1.93,77.1
2026-03-11 23:00:00,-1.06,-4.36,-2.41,1.8,78.21
2026-03-12 00:00:00,-1.22,-4.47,-2.51,1.67,78.49
2026-03-12 01:00:00,-1.54,-4.57,-2.88,1.65,79.8
2026-03-12 02:00:00,-2.17,-4.86,-3.72,1.7,81.85
2026-03-12 03:00:00,-2.63,-5.22,-4.47,1.62,82.43
2026-03-12 04:00:00,-2.73,-5.58,-4.94,1.36,80.78
2026-03-12 05:00:00,-2.79,-5.85,-5.2,1.06,79.44
2026-03-12 06:00:00,-2.87,-6.03,-5.32,0.91,78.82
2026-03-12 07:00:00,-2.64,-5.91,-3.95,0.89,78.18
2026-03-12 08:00:00,-0.9,-5.63,0.66,0.93,70.11
2026-03-12 09:00:00,1.99,-5.68,5.71,1.0,56.79
2026-03-12 10:00:00,5.53,-5.08,10.18,1.47,46.57
2026-03-12 11:00:00,7.59,-4.87,13.3,1.42,41.18
2026-03-12 12:00:00,8.78,-4.82,15.11,1.19,38.2
2026-03-12 13:00:00,9.5,-4.84,15.73,0.83,36.35
2026-03-12 14:00:00,9.85,-4.8,15.47,0.71,35.61
2026-03-12 15:00:00,9.82,-4.76,14.1,0.84,35.79
2026-03-12 16:00:00,9.17,-4.67,11.2,1.1,37.64
